,alpha,alpha_t,alpha_p,beta_mkt,beta_smb,beta_hml,r2,n_obs
SMALL LoBM,-0.006715896126134276,-3.333916377670966,0.0008825549674860261,1.2724982666054734,1.4714074114945206,0.3467322402721755,0.6633451635489218,1200.0
ME1 BM2,-0.003920239098251219,-3.3125206057724492,0.0009522402377957883,1.0707076171554122,1.5291985083668564,0.20618974557008274,0.8227688381689112,1200.0
ME1 BM3,-0.0011079892353533876,-1.2875001312336993,0.19816910654354414,1.048979393927387,1.2383640181266422,0.4930686935151303,0.8885616898066759,1200.0
ME1 BM4,0.0007563644646036541,1.174437323902264,0.24045368902864556,0.9410633073606243,1.2337752093714038,0.57663089174612,0.92858546835774,1200.0
SMALL HiBM,0.0013655151725597851,1.9158027304468905,0.05562841700179597,0.9814930673677955,1.2847387941668584,0.887227830466266,0.9286247410451032,1200.0
ME2 BM1,-0.002051041176107375,-2.9270616737352535,0.003486528893086855,1.0882324401967178,1.1503675671373985,-0.22984383145400852,0.9091738831768371,1200.0
ME2 BM2,0.00026739311407944543,0.4734852184687823,0.635953454821655,1.0222762774092298,1.0074125082892522,0.11925293933314848,0.9329592224016489,1200.0
ME2 BM3,0.00034313055028998077,0.6294905978609766,0.5291481468547874,0.9918543805076093,0.8313650728794924,0.34313573289158206,0.9330370882774134,1200.0
ME2 BM4,0.00025107428923301016,0.5254274058729318,0.5993834997978431,0.9668706084632765,0.830162270623195,0.5860305635180791,0.9512545362917584,1200.0
ME2 BM5,0.0003272431319508355,0.5921587847652443,0.5538561903483096,1.0646393269266305,0.9262380072288494,0.8845993529249585,0.9520758668076297,1200.0
ME3 BM1,-0.001073647634645294,-1.8360902558296266,0.06659242078121928,1.1250677771173878,0.8118625128912385,-0.21791060575779775,0.9257180169324799,1200.0
ME3 BM2,0.0009272186427013828,1.8202281716970474,0.06897410510485029,1.014611573047026,0.5652134520481223,0.051001137781548064,0.9273663258457349,1200.0
ME3 BM3,0.0004104103690941003,0.7987808820369643,0.4245760681977955,0.9840839781325438,0.45311241592928697,0.32362449394461157,0.9256165889326593,1200.0
ME3 BM4,0.000350342789919955,0.6738774759407752,0.5005194252996373,0.9932005618923666,0.4789423818773595,0.5640424747647165,0.9337567722204131,1200.0
ME3 BM5,-0.0006873846163460322,-1.0186419047602453,0.3085790110272968,1.1120556626385125,0.5896727397035881,0.8651358609734715,0.9233657449697124,1200.0
ME4 BM1,0.0004360005193324428,0.9071311300064608,0.36452018638324546,1.071420515815006,0.3409741632208301,-0.3279528758338851,0.9290568044672499,1200.0
ME4 BM2,-8.178308795783761e-05,-0.16471881584472703,0.8691931406881055,1.0274199037688614,0.24316997762075399,0.10828536145450607,0.922006503495397,1200.0
ME4 BM3,-3.501917907739653e-05,-0.0653393952382484,0.9479146959483612,1.009592760871493,0.2087570390779306,0.3488935207774708,0.914738186371583,1200.0
ME4 BM4,0.00015803774426433634,0.2699075158690352,0.7872779673138854,1.0304951395132396,0.21825269675872255,0.5704828568639877,0.9131018667095945,1200.0
ME4 BM5,-0.0017744786294344797,-2.3697033957210896,0.017960358905081145,1.1819593452601456,0.3216875785455347,0.9495965314368559,0.9096642359354683,1200.0
BIG LoBM,0.0009598255494892135,2.9270668373848707,0.0034864714239544255,1.0315477914042839,-0.15031831295135012,-0.2700921601581726,0.955787365583981,1200.0
ME5 BM2,4.215152943061928e-06,0.010175781021905202,0.9918827385899999,0.97614673690227,-0.1885376514245528,0.02792124814040138,0.9268280947736499,1200.0
ME5 BM3,-0.0001846479605072584,-0.3637581723016572,0.7161028901236928,0.9578396713762276,-0.22859498200950892,0.3343071762275965,0.9024663022768186,1200.0
ME5 BM4,-0.002483605602389474,-4.6475348514206996,3.731757309280695e-06,1.027306143764788,-0.17678419374747933,0.658694406666852,0.920929025426846,1200.0
BIG HiBM,-0.0013992030077738158,-1.3735464478922994,0.169839936801259,1.1835120364468685,-0.14530736962591975,0.9926309293109064,0.8310063868205162,1200.0
