,alpha,alpha_t,alpha_p,beta_mkt,beta_smb,beta_hml,r2,n_obs
SMALL LoBM,-0.007262364192079085,-2.768866732679369,0.0057437082967158265,1.2615413953803172,1.434010864347231,0.5567397018088774,0.6442486771586112,882.0
ME1 BM2,-0.0054784863748309895,-3.5986525071166224,0.0003377658086344656,1.0839333454339724,1.5622495503138245,0.2656319140136217,0.8132284937149183,882.0
ME1 BM3,-0.0014798509018298517,-1.3515378704202752,0.1768713004320075,1.0713371183042835,1.2862231568993612,0.5273305232626732,0.8879851788664155,882.0
ME1 BM4,0.0004545218501133528,0.5590324316290024,0.5762821422690698,0.9633986328229555,1.2731941055613718,0.566470077393745,0.9280902407480945,882.0
SMALL HiBM,0.0009541105475821169,1.1984176956860184,0.23107782189292864,0.9879605134053567,1.357087532888558,0.9129945864677251,0.9439542076540274,882.0
ME2 BM1,-0.002474877123182509,-2.8822895400713144,0.004044266177800045,1.0789402058856818,1.1736705095269497,-0.2255144589052951,0.9057736862396927,882.0
ME2 BM2,-0.0002783294537451687,-0.40731958436676946,0.6838725665931895,1.0356127312399783,1.0443808617481691,0.08685769453114321,0.9355385993470514,882.0
ME2 BM3,-0.00013864757416354257,-0.21875212348219275,0.8268939808217405,0.9976504107509768,0.8905713306575194,0.2969740174039288,0.9409371288625223,882.0
ME2 BM4,0.00016015633144583175,0.2748268650405175,0.7835139119905875,0.9803277349957789,0.8500231741254717,0.5623191083726031,0.9533430499622789,882.0
ME2 BM5,0.0004767370981749003,0.6873841507984695,0.4920222113155691,1.0630895802708173,0.920733916231334,0.8927971340046358,0.9511322830072917,882.0
ME3 BM1,-0.0010144240767045484,-1.4419831803788277,0.1496637096929905,1.1259607545475974,0.8092250192056258,-0.19233159223813,0.9263013491338783,882.0
ME3 BM2,0.0006850895206772753,1.1912218489769975,0.23388842492062986,1.031324356160018,0.5901908269998248,-0.015152925079097154,0.9382801338242989,882.0
ME3 BM3,0.0003205160111669998,0.5463125683710722,0.5849898905481021,0.9924188853098862,0.5010160814311962,0.2664490882002112,0.936286408096754,882.0
ME3 BM4,0.00025278439045654094,0.41817568756818807,0.6759209264596469,0.9961038984245911,0.5043004949059985,0.5217602448870987,0.9409886192682438,882.0
ME3 BM5,-0.0011334447878226324,-1.406030103822215,0.1600689764500037,1.1229008946180146,0.6191402543384223,0.8296413480752503,0.9293292694741292,882.0
ME4 BM1,0.00033029961227664745,0.604674553751303,0.5455514873883842,1.081051594391132,0.2831502510565418,-0.32922004331171484,0.9354496838735415,882.0
ME4 BM2,-0.0007028313327228922,-1.246282327599955,0.21299317827852668,1.038007733606363,0.28062227499547304,0.048180005842760346,0.9331711823042406,882.0
ME4 BM3,-0.00038938637214850985,-0.6528094513836727,0.5140500176942273,1.0174519939036226,0.26407957893227885,0.28542570331516615,0.9301321669645829,882.0
ME4 BM4,-0.00017643833414339452,-0.26166337099166825,0.7936423526838923,1.0374750530746164,0.2037259918408009,0.56746591180414,0.9245676935042297,882.0
ME4 BM5,-0.0017479034981637592,-1.948551006469608,0.051667307680387936,1.1968214386748077,0.3418261678620748,0.9451162832257953,0.9174292239867545,882.0
BIG LoBM,0.0007723804425449182,1.9134899666914598,0.05601029510750953,1.0355488562533046,-0.12155576518149662,-0.26617168534758673,0.9547684788183877,882.0
ME5 BM2,-0.0003558826409588427,-0.7828369113644411,0.4339339796100631,1.0045849070795572,-0.17061347951249864,-0.0309233516315722,0.94248323169432,882.0
ME5 BM3,-0.0006454208974519931,-1.1031157214675227,0.2702791713820147,0.9849145866338321,-0.26594666164792347,0.31817191754445306,0.9163236446455967,882.0
ME5 BM4,-0.0022297275124266553,-3.605311778704909,0.0003293450311441424,1.0409045946527193,-0.16475520682527148,0.6224647209094715,0.9304250624994748,882.0
BIG HiBM,-0.0018337070591817706,-1.5180705804112897,0.12935658029113306,1.160422912051849,-0.1511686201226042,1.0553928217304194,0.8442903493881286,882.0
